Size(A)  Probability_real    Probability_expected
9.3125  0  2.85784e-05
9.3375  0  2.76221e-05
9.3625  0  2.66986e-05
9.3875  0  2.58068e-05
9.4125  0  2.49457e-05
9.4375  0  2.41141e-05
9.4625  0  2.33109e-05
9.4875  0  2.25352e-05
9.5125  0  2.17861e-05
9.5375  0  2.10625e-05
9.5625  0  2.03637e-05
9.5875  0  1.96886e-05
9.6125  0  1.90366e-05
9.6375  0  1.84067e-05
9.6625  0  1.77983e-05
9.6875  0  1.72105e-05
9.7125  0  1.66426e-05
9.7375  0  1.60941e-05
9.7625  0  1.55641e-05
9.7875  0  1.5052e-05
9.8125  0  1.45573e-05
9.8375  0  1.40792e-05
9.8625  0  1.36174e-05
9.8875  0  1.3171e-05
9.9125  0  1.27398e-05
9.9375  0  1.2323e-05
9.9625  0  1.19202e-05
9.9875  0  1.1531e-05
10.0125  0  1.11549e-05
10.0375  0  1.07913e-05
10.0625  0  1.044e-05
10.0875  0  1.01004e-05
10.1125  0  9.77213e-06
10.1375  0  9.45485e-06
10.1625  0  9.14817e-06
10.1875  0  8.85172e-06
10.2125  0  8.56514e-06
10.2375  0  8.2881e-06
10.2625  0  8.02028e-06
10.2875  0  7.76136e-06
10.3125  0  7.51103e-06
10.3375  0  7.269e-06
10.3625  0  7.035e-06
10.3875  0  6.80874e-06
10.4125  0  6.58996e-06
10.4375  0  6.37842e-06
10.4625  0  6.17386e-06
10.4875  0  5.97604e-06
10.5125  0  5.78475e-06
10.5375  0  5.59975e-06
10.5625  0  5.42083e-06
10.5875  0  5.2478e-06
10.6125  0  5.08045e-06
10.6375  0  4.91859e-06
10.6625  0  4.76203e-06
10.6875  0  4.61059e-06
10.7125  0  4.46411e-06
10.7375  0  4.32242e-06
10.7625  0  4.18536e-06
10.7875  0  4.05276e-06
10.8125  0  3.92449e-06
10.8375  0  3.80039e-06
10.8625  0  3.68033e-06
10.8875  0  3.56417e-06
10.9125  0  3.45179e-06
10.9375  0  3.34305e-06
10.9625  0  3.23783e-06
10.9875  0  3.13602e-06
11.0125  0  3.0375e-06
11.0375  0  2.94217e-06
11.0625  0  2.84992e-06
11.0875  0  2.76064e-06
11.1125  0  2.67424e-06
11.1375  0  2.59063e-06
11.1625  0  2.5097e-06
11.1875  0  2.43137e-06
11.2125  0  2.35556e-06
11.2375  0  2.28218e-06
11.2625  0  2.21116e-06
11.2875  0  2.14241e-06
11.3125  0  2.07585e-06
11.3375  0  2.01143e-06
11.3625  0  1.94906e-06
11.3875  0  1.88868e-06
11.4125  0  1.83023e-06
11.4375  0  1.77364e-06
11.4625  0  1.71885e-06
11.4875  0  1.6658e-06
11.5125  0  1.61444e-06
11.5375  0  1.56471e-06
11.5625  0  1.51655e-06
11.5875  0  1.46992e-06
11.6125  0  1.42476e-06
11.6375  0  1.38103e-06
11.6625  0  1.33869e-06
11.6875  0  1.29768e-06
11.7125  0  1.25796e-06
11.7375  0  1.21949e-06
11.7625  0  1.18224e-06
11.7875  0  1.14615e-06
11.8125  0  1.1112e-06
11.8375  0  1.07735e-06
11.8625  0  1.04456e-06
11.8875  0  1.01279e-06
