x  y  z   error
0.0392699  0.274889  0.431969  -0.0001339
0.0392699  0.274889  0.510509  -4.40013e-06
0.0392699  0.274889  0.589049  -0.0001339
0.0392699  0.274889  0.667588  -0.0001339
0.0392699  0.274889  0.746128  -0.000392901
0.0392699  0.274889  0.824668  0.0001251
0.0392699  0.274889  0.903208  -0.0001339
0.0392699  0.274889  0.981748  -0.000522401
0.0392699  0.274889  1.06029  -0.0001339
0.0392699  0.274889  1.13883  0.0001251
0.0392699  0.274889  1.21737  -4.40013e-06
0.0392699  0.274889  1.29591  -4.40013e-06
0.0392699  0.274889  1.37445  -0.0002634
0.0392699  0.274889  1.45299  -4.40013e-06
0.0392699  0.274889  1.53153  0.0001251
0.0392699  0.353429  0.0392699  -0.0001339
0.0392699  0.353429  0.11781  -0.000781401
0.0392699  0.353429  0.19635  -0.000781401
0.0392699  0.353429  0.274889  -0.000522401
0.0392699  0.353429  0.353429  -0.000392901
0.0392699  0.353429  0.431969  -0.000392901
0.0392699  0.353429  0.510509  -0.000392901
0.0392699  0.353429  0.589049  -0.0001339
0.0392699  0.353429  0.667588  -0.0002634
0.0392699  0.353429  0.746128  -0.000781401
0.0392699  0.353429  0.824668  0.0001251
0.0392699  0.353429  0.903208  -0.000781401
0.0392699  0.353429  0.981748  -4.40013e-06
0.0392699  0.353429  1.06029  -4.40013e-06
0.0392699  0.353429  1.13883  -0.0001339
0.0392699  0.353429  1.21737  -4.40013e-06
0.0392699  0.353429  1.29591  0.0001251
0.0392699  0.353429  1.37445  0.0001251
0.0392699  0.353429  1.45299  0.0001251
0.0392699  0.353429  1.53153  -4.40013e-06
0.0392699  0.431969  0.0392699  -0.0011699
0.0392699  0.431969  0.11781  -0.000781401
0.0392699  0.431969  0.19635  -0.000392901
0.0392699  0.431969  0.274889  -0.000392901
0.0392699  0.431969  0.353429  -0.000522401
0.0392699  0.431969  0.431969  -0.000781401
0.0392699  0.431969  0.510509  -4.40013e-06
0.0392699  0.431969  0.589049  -0.0001339
0.0392699  0.431969  0.667588  -0.0002634
0.0392699  0.431969  0.746128  -0.000522401
0.0392699  0.431969  0.824668  0.0001251
0.0392699  0.431969  0.903208  -0.0001339
0.0392699  0.431969  0.981748  -0.0002634
0.0392699  0.431969  1.06029  -4.40013e-06
0.0392699  0.431969  1.13883  -0.0001339
0.0392699  0.431969  1.21737  -4.40013e-06
0.0392699  0.431969  1.29591  0.0001251
0.0392699  0.431969  1.37445  0.0001251
0.0392699  0.431969  1.45299  0.0001251
0.0392699  0.431969  1.53153  0.0001251
0.0392699  0.510509  0.0392699  -0.0011699
0.0392699  0.510509  0.11781  -0.000392901
0.0392699  0.510509  0.19635  -0.000522401
0.0392699  0.510509  0.274889  -0.0002634
