Size(A)  Probability_real    Probability_expected
7.3375  0  1.41362e-08
7.3625  0  1.33291e-08
7.3875  0  1.25694e-08
7.4125  0  1.18543e-08
7.4375  0  1.1181e-08
7.4625  0  1.05471e-08
7.4875  0  9.95015e-09
7.5125  0  9.38795e-09
7.5375  0  8.85843e-09
7.5625  0  8.35963e-09
7.5875  0  7.88973e-09
7.6125  0  7.44699e-09
7.6375  0  7.02982e-09
7.6625  0  6.63668e-09
7.6875  0  6.26617e-09
7.7125  0  5.91693e-09
7.7375  0  5.58771e-09
7.7625  0  5.27734e-09
7.7875  0  4.9847e-09
7.8125  0  4.70875e-09
7.8375  0  4.44852e-09
7.8625  0  4.20308e-09
7.8875  0  3.97158e-09
7.9125  0  3.75319e-09
7.9375  0  3.54715e-09
7.9625  0  3.35275e-09
7.9875  0  3.1693e-09
8.0125  0  2.99618e-09
8.0375  0  2.83279e-09
8.0625  0  2.67857e-09
8.0875  0  2.53298e-09
8.1125  0  2.39553e-09
8.1375  0  2.26575e-09
8.1625  0  2.14321e-09
8.1875  0  2.02748e-09
8.2125  0  1.91818e-09
8.2375  0  1.81494e-09
8.2625  0  1.71742e-09
8.2875  0  1.62529e-09
8.3125  0  1.53824e-09
8.3375  0  1.45598e-09
8.3625  0  1.37825e-09
8.3875  0  1.30479e-09
8.4125  0  1.23536e-09
8.4375  0  1.16973e-09
8.4625  0  1.10768e-09
8.4875  0  1.04902e-09
8.5125  0  9.93553e-10
8.5375  0  9.41103e-10
8.5625  0  8.91502e-10
8.5875  0  8.44589e-10
8.6125  0  8.00215e-10
8.6375  0  7.5824e-10
8.6625  0  7.18528e-10
8.6875  0  6.80956e-10
8.7125  0  6.45405e-10
8.7375  0  6.11763e-10
8.7625  0  5.79924e-10
8.7875  0  5.4979e-10
8.8125  0  5.21266e-10
8.8375  0  4.94264e-10
8.8625  0  4.68701e-10
8.8875  0  4.44497e-10
8.9125  0  4.21579e-10
8.9375  0  3.99876e-10
8.9625  0  3.79323e-10
8.9875  0  3.59855e-10
9.0125  0  3.41416e-10
9.0375  0  3.23948e-10
9.0625  0  3.07399e-10
9.0875  0  2.9172e-10
9.1125  0  2.76863e-10
9.1375  0  2.62784e-10
9.1625  0  2.49442e-10
9.1875  0  2.36796e-10
9.2125  0  2.24809e-10
9.2375  0  2.13447e-10
9.2625  0  2.02675e-10
9.2875  0  1.92462e-10
9.3125  0  1.82778e-10
9.3375  0  1.73596e-10
9.3625  0  1.64888e-10
9.3875  0  1.56629e-10
9.4125  0  1.48795e-10
9.4375  0  1.41365e-10
9.4625  0  1.34316e-10
9.4875  0  1.27628e-10
9.5125  0  1.21283e-10
9.5375  0  1.15262e-10
9.5625  0  1.09549e-10
9.5875  0  1.04127e-10
9.6125  0  9.89803e-11
9.6375  0  9.40957e-11
